comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
37-30,37-3011.00 | 37-3012.00 | 37-3013.00,"Landscaping and Groundskeeping Workers | Pesticide Handlers, Sprayers, and Applicators, Vegetation | Tree Trimmers and Pruners",3,0.3782022833333333,Grounds maintenance workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.15593262045582212,0.4537037037037037
39-10,39-1011.00 | 39-1012.00 | 39-1021.00 | 39-1021.01,Gaming Supervisors | Slot Supervisors | First-Line Supervisors of Personal Service Workers | Spa Managers,4,0.192423283,Gaming Supervisors | Slot Supervisors | First-Line Supervisors of Personal Service Workers | Spa Managers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1179935759769781,0.14814814814814814
39-20,39-2011.00 | 39-2021.00,Animal Trainers | Nonfarm Animal Caretakers,2,0.273988756,Animal care and service workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.6956048412377512,0.26851851851851855
39-30,39-3011.00 | 39-3012.00 | 39-3021.00 | 39-3031.00 | 39-3091.00,"Gaming Dealers | Gaming and Sports Book Writers and Runners | Motion Picture Projectionists | Ushers, Lobby Attendants, and Ticket Takers | Amusement and Recreation Attendants",7,0.3314801342857142,"Gaming Dealers | Gaming and Sports Book Writers and Runners | Motion Picture Projectionists | Ushers, Lobby Attendants, and Ticket Takers | Amusement and Recreation Attendants",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.3978843764460239,0.3425925925925926
39-40,39-4011.00 | 39-4021.00 | 39-4031.00,"Embalmers | Funeral Attendants | Morticians, Undertakers, and Funeral Directors",3,0.0807971323333333,"Embalmers | Funeral Attendants | Morticians, Undertakers, and Funeral Directors",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.6960522423431212,0.027777777777777776
39-50,39-5011.00 | 39-5012.00 | 39-5091.00 | 39-5092.00 | 39-5093.00,"Barbers | Hairdressers, Hairstylists, and Cosmetologists | Makeup Artists, Theatrical and Performance | Manicurists and Pedicurists | Shampooers",6,0.2382966848333333,"Barbers, hairstylists, and cosmetologists",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8804370775482155,0.21296296296296297
39-60,39-6011.00 | 39-6012.00,Baggage Porters and Bellhops | Concierges,2,0.1389198335,Concierges,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.3950624570522967,0.07407407407407407
39-70,39-7011.00 | 39-7012.00,Tour Guides and Escorts | Travel Guides,2,0.17121922,Tour and travel guides,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.2277993186826062,0.09259259259259259
39-90,39-9011.00 | 39-9011.01 | 39-9021.00 | 39-9031.00 | 39-9032.00,Childcare Workers | Nannies | Personal Care Aides | Fitness Trainers and Aerobics Instructors | Recreation Workers,6,0.18394666,Childcare workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1618899690479951,0.12037037037037036
41-10,41-1011.00 | 41-1012.00,First-Line Supervisors of Retail Sales Workers | First-Line Supervisors of Non-Retail Sales Workers,2,0.42989165,First-Line Supervisors of Retail Sales Workers | First-Line Supervisors of Non-Retail Sales Workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.11174198967983334,0.5833333333333334
41-20,41-2011.00 | 41-2012.00 | 41-2021.00 | 41-2022.00 | 41-2031.00,Cashiers | Gaming Change Persons and Booth Cashiers | Counter and Rental Clerks | Parts Salespersons | Retail Salespersons,5,0.1881223678,Retail sales workers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1402659672564195,0.1388888888888889
