comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
conservation-scientists,19-1031 | 19-1032,Conservation Scientists | Foresters,2,0.1124497382090073,Conservation scientists and foresters,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6659179273706716,0.2844574780058651
construction-and-building-inspectors,47-4011,Construction and Building Inspectors,1,0.1175029238868945,Construction and building inspectors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6111853891250023,0.30498533724340177
construction-equipment-operators,47-2071 | 47-2072 | 47-2073,"Paving, Surfacing, and Tamping Equipment Operators | Pile Driver Operators | Operating Engineers and Other Construction Equipment Operators",3,0.0348777699671196,Construction equipment operators,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.5061226990200185,0.02932551319648094
construction-laborers-and-helpers,47-2061 | 47-3011 | 47-3012 | 47-3013 | 47-3014,"Construction Laborers | Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters | Helpers--Carpenters | Helpers--Electricians | Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7,0.0414937952055492,Construction laborers and helpers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.4344625864733398,0.04398826979472141
construction-managers,11-9021,Construction Managers,1,0.1450059596749093,Construction managers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.31329193060302635,0.4046920821114369
cooks,35-2011 | 35-2012 | 35-2013 | 35-2014 | 35-2015,"Cooks, Fast Food | Cooks, Institution and Cafeteria | Cooks, Private Household | Cooks, Restaurant | Cooks, Short Order",5,0.1675807916047935,Cooks,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.06877729552859259,0.5161290322580645
correctional-officers,33-3011 | 33-3012,Bailiffs | Correctional Officers and Jailers,2,0.1584552043628787,Correctional officers and bailiffs,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.16761921121713858,0.4662756598240469
cost-estimators,13-1051,Cost Estimators,1,0.2547360531717686,Cost estimators,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.8752269408287527,0.8211143695014663
court-reporters,27-3092,Court Reporters and Simultaneous Captioners,1,0.2022046764211565,Court reporters and simultaneous captioners,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.3062441702801966,0.6656891495601173
craft-and-fine-artists,27-1012 | 27-1013,"Craft Artists | Fine Artists, Including Painters, Sculptors, and Illustrators",2,0.1903504613440729,Craft and fine artists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.17784768508510995,0.6187683284457478
credit-counselors,13-2071,Credit Counselors,1,0.2885017178636657,Credit counselors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.240952772402076,0.8680351906158358
curators-museum-technicians-and-conservators,25-4011 | 25-4012 | 25-4013,Archivists | Curators | Museum Technicians and Conservators,3,0.2388784745878268,"Archivists, curators, and museum workers",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.703468849665122,0.7624633431085044
customer-service-representatives,43-4051,Customer Service Representatives,1,0.4078036834419938,Customer service representatives,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,2.533147401697693,0.9912023460410557
dancers-and-choreographers,27-2031 | 27-2032,Dancers | Choreographers,2,0.1228883519443155,Dancers and choreographers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.5528542360838701,0.3313782991202346
data-scientists,15-2051,Data Scientists,1,0.3571632760219043,Data scientists,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.9846462753636216,0.9706744868035191
