comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
4889,488900,1,Other support activities for transportation,14400,33,6.0521,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.6454099756470828,0.7526881720430108
4921,492100,1,Couriers and express delivery services,173600,49,4.5586,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.37570895262521686,0.3924731182795699
4922,492200,1,Local messengers and local delivery,24000,32,5.2296,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.0830595782557422,0.5860215053763441
5121,512100,1,Motion picture and video industries,228900,95,6.0177,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.6218903967166725,0.7419354838709677
5122,512200,1,Sound recording industries,15500,34,6.789,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.149234909188333,0.8279569892473119
5131,513100,1,"Newspaper, Periodical, Book, and Directory Publishers",196800,76,7.9783,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.9623696540120665,0.9838709677419355
5132,513200,1,Software publishers,476500,75,8.2938,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,2.1780797456557957,0.9946236559139785
5161,516100,1,Radio and Television Broadcasting Stations,102000,58,6.9426,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.254252563947372,0.8494623655913979
5222,522200,1,Nondepository credit intermediation,330400,76,7.9576,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.9482168841324305,0.9731182795698925
5241,524100,1,Insurance carriers,1248600,116,7.5363,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.6601704131038932,0.9301075268817204
5242,524200,1,"Agencies, brokerages, and other insurance related activities",1094700,90,7.3304,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.5193947938663532,0.8978494623655914
5251,525100,1,Insurance and employee benefit funds,9100,34,7.8593,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.8810083199214047,0.9623655913978495
5259,525900,1,Other investment pools and funds,13300,30,7.4421,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.5957650545212014,0.9139784946236559
